Review number	Language	Hotel	Hotel stars	Hotel city	Hotel country	Reviewer	Reviewer location	Reviewer type	Positive	Negative	Rating
32	nl	grandhoteldechampagne	3	Parijs	fr	Cecile	S\xc3\xa8te, Frankrijk	Ouder stel	\nthe location\n	\nthe staff was not very friendly .and notvery helpful . the room was very small , disappointing compared to what announced and the price of it . the carpet was dirty with stains ; There was a lot of mold in the shower ;\n	3.8
33	nl	grandhoteldechampagne	3	Parijs	fr	Steven	Plano, Verenigde Staten	Gezin met jonge kinderen	\nThis is a charming hotel in a good area.  If you are looking for an authentic stay (vs. a big brand corporate hotel) - this is the place to stay.  We rented two rooms (shared an adjacent walkthrough), both very charming with excellent air conditioning.  We are a same-sex couple with two young children and felt very comfortable.\n	None	10.0
39	nl	grandhoteldechampagne	3	Parijs	fr	Margaret	Houston, Verenigde Staten	Ouder stel	\nGreat location-  easy to get to all the sights in this beautiful city.  Staff was very helpful and friendly. They even had postage stamps and mailed my cards for me. Breakfast was very good.\n	\nNothing - loved this hotel!\n	10.0
86	nl	grandhoteldechampagne	3	Parijs	fr	Arkadiusz	Hillingdon, Verenigd Koninkrijk	Ouder stel	None	\nRoom very small compared to pictures we have seen on the web site.\rWe were very disappointed with quality of almost everything there. \rBathroom and shower very small and no ventilation, just open space to the bedroom.\r150 euro for the night is was far too much. We would not recommend this hotel to our friends.\n	4.6
87	nl	grandhoteldechampagne	3	Parijs	fr	Clyde	Cape Town, Zuid-Afrika	Gezin met jonge kinderen	None	\nThe hotel is not child freindly at all and the rooms, passage way and\nlift are extremely small. Expecting infants to sleep in a campcot by\nsubstituting a matress with a rolled up blanket is not acceptable\neither. Breakfast certainly isnt worth 13 Euro cost.\n	4.2
125	nl	grandhoteldechampagne	3	Parijs	fr	Daming	Duesseldorf, Duitsland	Jong stel	\n1, best location, very near to the Louver, about 400 meters only;\r2, the space in the room is too small, less then 7 or 8 square meters, feel too small.\r3, I am ok with the old decoration, but not really happy about those furniture even the out of life-circle, eg: the mercury layer split off from back of the mirror. that&#39;s toooooo old to use it any longer.\r4, staff is quite ok and helpful, but the service scope is limitted, so not really impressed.\r5, overall, the hotel is so so, but the location is very good, by the way, the price is too expensive.\n	\n1, best location, very near to the Louver, about 400 meters only;\r2, the space in the room is too small, less then 7 or 8 square meters, feel too small.\r3, I am ok with the old decoration, but not really happy about those furniture even the out of life-circle, eg: the mercury layer split off from back of the mirror. that&#39;s toooooo old to use it any longer.\r4, staff is quite ok and helpful, but the service scope is limitted, so not really impressed.\r5, overall, the hotel is so so, but the location is very good, by the way, the price is too expensive.\n	4.6
139	nl	grandhoteldechampagne	3	Parijs	fr	Brian	Carson, Verenigde Staten	Ouder stel	\nThe hotel is in a great location within walking distance of the Louvre\nand Notre-Dame plus its one short block from the river. Rooms are clean\nand the staff is very helpful. We had a great time in Paris!!\n	None	10.0
141	nl	grandhoteldechampagne	3	Parijs	fr	Anna	Ramenskoye, Rusland	Gezin met oudere kinderen	\nEverithing was amazing. Interesting design of the rooms, excellent location in the very center of the city, nice stuff, good breakfast. One girl on reception speaks russian - not necessary but nice detail.\n	None	10.0
143	nl	grandhoteldechampagne	3	Parijs	fr	Konstantin	Moscow, Rusland	Gezin met jonge kinderen	None	\nNegative empression. We lived at the second floor in the room for three\npersons. In our opinion, the room is rather small. The hotel is in the\nvery old midcenturies building and make rather dark impression. Window\nto nowhere. You fell you-self as in a prison chamber. Old equipment and\ndecoration. In our opinion, rather poor ventilation in the room.\n	3.8
148	nl	grandhoteldechampagne	3	Parijs	fr	Elizabeth	Morecambe, Verenigd Koninkrijk	Ouder stel	\nThis was my second stay in 2 months - first visit with my partner and\nthis one with my Mum specifically to see the end of the Tour de France.\nEnjoyed my stay first time and wanted to go back. Had a balcony room\nthis time and it was fantastic. Balcony had 2 chairs and a table so we\nwere able to sit out, the room was nicely spacious, well decorated and\nhad character. Perfectly good buffet breakfast to set us up for the day.\nThe whole hotel is kept very clean and tidy. The location is just\nbrilliant and so convenient for all the sights and transport network as\nwell as for just setting off to stroll around and see what you come\nacross. Love it!! Considering its location and facilities, I think this\nmust be the best value hotel in Paris and can&#39;t wait to return....\n	None	10.0
